"filename", "language", "C++", "Markdown", "YAML", "Dart", "Swift", "XML", "JSON", "HTML", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"g:\quiz_app_new\lib\bloc\profile\profile_bloc.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"g:\quiz_app_new\lib\bloc\profile\profile_event.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"g:\quiz_app_new\lib\bloc\profile\profile_state.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"g:\quiz_app_new\lib\bloc\quiz\quiz_bloc.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 3, 15, 83
"g:\quiz_app_new\lib\bloc\quiz\quiz_event.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"g:\quiz_app_new\lib\bloc\quiz\quiz_state.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"g:\quiz_app_new\lib\bloc\settings_bloc\bloc\app_settings_bloc.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 17, 72
"g:\quiz_app_new\lib\bloc\settings_bloc\bloc\app_settings_event.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"g:\quiz_app_new\lib\bloc\settings_bloc\bloc\app_settings_state.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"g:\quiz_app_new\lib\bloc_observer.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"g:\quiz_app_new\lib\data\models\app_settings.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"g:\quiz_app_new\lib\data\models\course.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"g:\quiz_app_new\lib\data\models\course.g.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 5, 31
"g:\quiz_app_new\lib\data\models\language.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"g:\quiz_app_new\lib\data\models\lesson.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"g:\quiz_app_new\lib\data\models\lesson.g.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"g:\quiz_app_new\lib\data\models\module.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"g:\quiz_app_new\lib\data\models\module.g.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 5, 25
"g:\quiz_app_new\lib\data\models\progress.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"g:\quiz_app_new\lib\data\models\question.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 14, 73
"g:\quiz_app_new\lib\data\models\question.g.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 5, 33
"g:\quiz_app_new\lib\data\models\quiz.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"g:\quiz_app_new\lib\data\models\quiz.g.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 5, 38
"g:\quiz_app_new\lib\data\models\user_profile.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 12, 80
"g:\quiz_app_new\lib\data\repositories\question_repo.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"g:\quiz_app_new\lib\data\repositories\storage_repo.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"g:\quiz_app_new\lib\firebase_options.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 12, 6, 82
"g:\quiz_app_new\lib\main.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"g:\quiz_app_new\lib\ui\common.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"g:\quiz_app_new\lib\ui\screens\home.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 4, 68
"g:\quiz_app_new\lib\ui\screens\login_page.dart", "Dart", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 2, 3, 119
"g:\quiz_app_new\lib\ui\screens\quiz\quiz_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\quiz_app_new\lib\ui\screens\quiz\quiz_view.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 3, 43
"g:\quiz_app_new\lib\ui\screens\quiz\results_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\quiz_app_new\lib\ui\screens\register_page.dart", "Dart", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 4, 3, 130
"g:\quiz_app_new\lib\ui\screens\settings.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
